Rank(P),Point,Rank(C),Cristal,Name,Server,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S1 Od,S2 Od,S3 Od,S4 Od,S5 Od,S6 Od,S7 Od,S8 Od,S9 Od,S10 Od,S11 Od,S12 Od,S13 Od,S14 Od,S15 Od,S16 Od,S17 Od,S18 Od,S19 Od,S20 Od,이전 아이디,비고,여단,SRP,SRC
204,18,200,"25,500",홍염의눈동자,티스라오,64,256,256,128,64,128,128,원더,원더,256,원더,-,256,-,-,128,-,-,-,-,46,149,131,120,37,126,124,-,-,256,-,-,137,,,,,,,,,,,71,72
241,15,200,"25,500",신세만지는구나,카먼,128,원더,256,원더,원더,256,256,256,128,256,128,64,256,-,-,-,-,-,-,-,90,-,256,-,-,154,247,138,100,200,85,49,181,,,,,,,,"으어어어어어어, 신세만지는구나",,,36,27
278,13,208,"25,000",SR치케,티스라오,원더,골1,골1,256,원더,원더,원더,원더,128,256,256,256,256,256,256,256,256,-,-,-,-,-,-,151,-,-,-,-,104,183,209,129,141,191,256,,,,,,"Clarett, 병신게임 ㅗ, 다프렌, 섭종가자, 망령치케, 최약체치케, SR치케",,질풍,96,75
293,12,208,"25,000",레나테,티스라오,-,-,-,-,골3,골3,골3,골2,원더,원더,256,256,256,256,256,256,256,256,256,256,-,-,-,-,-,-,-,-,-,-,150,228,246,197,256,,,,,256,,,라만차,102,75
204,18,208,"25,000",캌퉤,콜시아,-,골3,원더,128,256,256,64,256,32,128,-,-,-,-,-,-,원더,128,128,-,-,-,-,86,131,234,64,255,18,116,-,-,-,,,,,,,,,,CreeD,5,5
188,19,211,"24,500",쿸,카먼,원더,원더,원더,32,128,256,64,원더,256,256,128,원더,256,128,-,-,-,-,-,-,-,-,-,22,102,218,40,-,159,163,114,-,220,113,,,,,,,,,,27,30
227,16,211,"24,500",SP측형,티스라오,골2,골1,원더,원더,원더,원더,256,256,원더,128,128,256,256,128,256,원더,원더,원더,원더,64,-,-,-,-,-,-,254,195,-,99,116,163,210,121,256,,,,,64,"CmR, 랑그나라옴팡측형, 측형, SP측형",,카르페디엠,80,77
319,11,213,"24,000",루나틱,티스라오,골3,원더,원더,원더,256,256,원더,원더,256,256,원더,256,256,256,256,256,-,256,-,-,-,-,-,-,184,189,-,-,256,214,-,182,249,143,256,,,,,,,,슬레이어즈,111,78
259,14,214,"23,500",끼얏호우,티스라오,골2,골2,원더,원더,원더,원더,256,원더,원더,원더,원더,원더,256,256,256,64,256,256,256,128,-,-,-,-,-,-,234,-,-,-,-,-,149,139,256,,,,,128,,,새우사망,90,79
204,18,214,"23,500",초베리굿,빛의후예,골3,64,256,128,256,원더,원더,원더,원더,-,골1,원더,64,256,256,256,128,골1,골3,-,-,40,240,84,162,-,-,-,-,-,-,-,62,147,256,,,,,,"연 이화, 에메랄드스플래쉬, 이글거리는이빨, 초베리굿, 내가모테노코겜탓",,카콘시스,2,3
259,14,214,"23,500",동화파파,레이갈드,골3,골3,원더,원더,256,256,원더,원더,128,64,256,256,128,256,256,-,-,-,-,-,-,-,-,-,206,160,-,-,89,59,215,231,89,174,256,,,,,,"동화파파, 랜솔파파",,사신,24,16
259,14,214,"23,500",셀천지,카먼,원더,256,128,원더,원더,원더,원더,원더,128,64,256,256,256,256,원더,원더,원더,원더,원더,256,-,180,126,-,-,-,-,-,66,53,214,245,242,255,,,,,,256,,,랑갤럼,38,31
278,13,214,"23,500",페리안,티스라오,실3,골2,골2,골1,원더,256,256,128,256,256,128,256,128,골3,128,-,-,-,-,-,-,-,-,-,-,180,183,67,151,139,80,173,80,,128,,,,,,"자칼의 날, 페리안, 탄생의 빛, 페리안, 숑기사,얘희, 드래곤 슬레이브",,카르페디엠,96,79
293,12,214,"23,500",수련여우,카먼,골3,골1,골3,원더,골1,원더,원더,원더,원더,256,256,128,256,원더,256,원더,256,256,128,256,-,-,-,-,-,-,-,-,-,150,229,127,131,,256,,,,,256,"하연여우, 검은여우, 수련여우",,명예,45,31
179,20,214,"23,500",게임장,라카스,원더,원더,128,128,32,128,32,256,256,32,골3,-,-,-,-,-,-,-,-,-,-,-,78,107,24,117,21,239,165,30,-,-,-,,,,,,,,"리 코 리 스, 라이트유저, 셀파닐맘, 홍진호, 블래키드, 게임장",,아웃사이더,3,3
217,17,214,"23,500",koinb,티스라오,256,256,256,256,원더,원더,골3,256,64,8,64,-,-,-,-,-,-,-,-,-,228,204,195,206,-,-,-,186,59,8,53,-,-,,,,,,,,"힘숨찐, 모그레인, 레딘, 열화, koinb",계정 변경 레딘(S7),흑우단,76,79
171,21,214,"23,500",군성j5xcPG,레이갈드,32,16,256,128,256,128,256,16,원더,-,-,-,-,-,-,-,-,-,-,-,25,15,254,70,199,99,241,13,-,-,-,-,-,,,,,,,,군성,,,12,16
241,15,214,"23,500",からかわないで,카먼,골1,128,256,원더,256,256,원더,64,원더,256,128,64,256,-,-,-,-,-,-,-,-,103,192,-,186,225,-,45,-,143,91,35,157,,,,,,,,"랑린O1, あきらめるな, あきらめないで, からかわないで","아키라메나이데, 카라카와나이데",,36,31
319,11,214,"23,500",홀팅,발디아,골1,원더,256,256,원더,256,256,256,128,256,256,256,256,-,-,-,-,-,-,-,-,-,135,181,-,136,154,179,114,219,226,239,136,,,,,,,,,,,12,10
204,18,225,"23,000",커여운랑린이,티스라오,원더,골3,-,-,-,-,골2,원더,원더,256,256,32,128,64,256,256,256,원더,-,-,-,-,-,-,-,-,-,-,-,147,140,28,82,47,256,,,,,,,,머피소,71,82
278,13,225,"23,000",건맥스,카먼,원더,원더,256,원더,원더,128,원더,원더,128,256,256,원더,원더,원더,원더,128,256,원더,256,256,-,-,142,-,-,85,-,-,74,130,208,-,-,,,,,,,256,"랑그릿사예염, 건맥스",,창세기전,42,34
241,15,225,"23,000",아아아아LZZv,레이갈드,256,원더,원더,256,256,128,64,256,256,32,원더,256,-,-,-,-,-,-,-,-,139,-,-,142,194,112,46,246,215,28,-,193,-,,,,,,,,아아아아,,,22,18
132,25,225,"23,000",크라운산도딸기,카먼,128,원더,원더,골3,원더,골3,-,-,-,-,골3,원더,골3,원더,원더,64,32,128,8,32,119,-,-,-,-,-,-,-,-,-,-,-,-,,,,21,,,32,"UCL 정벅자, 궤 적",,랑린이,20,34
217,17,229,"22,500",웨블,레이갈드,골2,골2,원더,원더,원더,원더,원더,원더,원더,원더,256,256,원더,256,256,256,64,64,128,-,-,-,-,-,-,-,-,-,-,-,255,238,-,152,256,,,,,,,,자유의여단,18,19
259,14,229,"22,500",쪼끔,라카스,원더,원더,원더,원더,원더,256,256,256,128,256,16,원더,원더,골1,원더,원더,원더,128,원더,256,-,-,-,-,-,143,136,177,90,190,13,-,-,,,,,,,256,,,Legend,4,4
163,22,231,"22,000",델람,티스라오,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,64,256,128,64,256,64,64,-,-,-,-,-,-,-,-,-,-,-,-,-,50,256,,,,,64,,,여고생,57,83
259,14,231,"22,000",행복랑모,보르스레누,-,-,-,-,-,-,-,-,-,-,골1,원더,256,256,64,128,256,128,256,256,-,-,-,-,-,-,-,-,-,-,-,-,128,135,64,,,,,256,,,이세계,3,2
227,16,231,"22,000",택사미,칼자스,원더,원더,원더,원더,원더,골2,골1,골3,골2,골2,원더,128,-,256,256,256,64,128,256,256,-,-,-,-,-,-,-,-,-,-,-,114,-,176,256,,,,,256,,,JMT,13,13
259,14,231,"22,000",피아노,티스라오,골2,원더,원더,원더,원더,원더,원더,원더,원더,원더,128,256,원더,원더,256,64,128,256,256,256,-,-,-,-,-,-,-,-,-,-,119,180,-,,256,,,,,256,,,슬레이어즈,90,83
319,11,231,"22,000",아이스티샷추가,티스라오,골3,골2,골1,원더,128,256,256,128,256,256,256,256,원더,골1,256,-,-,-,-,-,-,-,-,-,85,204,160,83,186,195,243,237,-,,256,,,,,,,,여고생,111,83
227,16,231,"22,000",애희,티스라오,원더,원더,64,256,256,256,256,-,-,16,-,256,64,-,-,-,-,-,-,-,-,-,48,200,144,251,132,-,-,15,-,154,37,,,,,,,,,,카르페디엠,80,83
151,23,231,"22,000",모노쿠마O43c,벨제리아,16,64,32,128,32,64,128,-,골3,-,-,-,-,-,-,-,-,-,-,-,9,59,29,109,28,62,121,-,-,-,-,-,-,,,,,,,,,,,7,10
179,20,238,"21,500",크림슨노바,레이갈드,골3,골3,골3,골3,골2,골2,골2,골1,원더,원더,골1,원더,원더,128,256,64,64,64,256,128,-,-,-,-,-,-,-,-,-,-,-,-,-,66,256,,,,,128,,,세계수,14,20
204,18,238,"21,500",신규,레이갈드,-,-,실3,실2,실2,골3,골2,골1,원더,원더,64,64,256,256,128,64,128,원더,-,-,-,-,-,-,-,-,-,-,-,-,52,34,224,165,128,,,,,,"신규, 신규UH60PK",,사신,16,20
227,16,238,"21,500",아이도스,티스라오,32,원더,64,256,256,원더,128,256,64,골2,골2,-,-,-,-,256,-,-,-,-,20,-,43,202,242,-,92,211,58,-,-,-,-,,,,,,,,"석유, 골라먹는재미, 자웅동체, 능지상승중, 능지떡락중, 안전 운전, 아이도스, 안경거치대",,여고생,80,87
241,15,238,"21,500",코스모스,다르시스,골2,원더,원더,128,128,256,32,128,256,128,256,-,-,-,-,-,-,-,-,-,-,-,-,75,110,231,30,126,224,123,247,-,-,,,,,,,,,,,2,2
319,11,238,"21,500",내일의죠,카먼,골2,골3,원더,256,128,256,256,256,256,256,원더,256,128,-,-,-,-,-,-,-,-,-,-,152,101,147,184,149,252,238,-,146,95,,,,,,,,"네라, 내일의죠, 월천준암",,,50,36
241,15,238,"21,500",신We 난신적자,이바스,-,-,-,-,-,-,브3,실3,골1,원더,256,원더,256,원더,원더,256,256,128,64,16,-,-,-,-,-,-,-,-,-,-,129,-,158,,,,,,,16,"루라라랄, 어남선생",게정 변경 신We 난신적자(S17),에이스,3,3
204,18,244,"21,000",9번타자,벨제리아,브1,골3,골3,골2,골2,골2,골1,골1,원더,원더,골1,골1,원더,64,128,128,256,64,256,128,-,-,-,-,-,-,-,-,-,-,-,-,-,36,128,,,,,128,"쌍넘, 9번타자",,Legend,10,11
278,13,244,"21,000",크리스아빠,티스라오,실1,골3,골3,골3,골1,골2,골1,골1,골1,골1,256,256,256,128,256,128,256,256,-,-,-,-,-,-,-,-,-,-,-,-,236,148,145,65,256,,,,,,,,오케스트라,96,88
293,12,244,"21,000",스사노오R,벨제리아,실1,골2,골2,원더,골1,원더,원더,원더,원더,256,256,원더,256,128,-,256,-,256,256,128,-,-,-,-,-,-,-,-,-,185,200,-,165,83,,,,,,128,"스사노오j, 투혼75, 투신류",,달빛,14,11
188,19,244,"21,000",별그림자,카먼,골2,원더,원더,원더,골1,원더,원더,원더,원더,원더,원더,원더,256,256,256,64,32,128,원더,128,-,-,-,-,-,-,-,-,-,-,-,-,254,159,256,,32,,,128,,,귀족,27,37
319,11,244,"21,000",R의 의지,카먼,골2,골2,골2,골2,원더,원더,원더,256,256,원더,128,256,256,256,128,256,-,-,-,-,-,-,-,-,-,-,-,139,160,-,77,156,194,200,128,,,,,,,,,50,37
204,18,244,"21,000",mica,티스라오,골3,골3,-,-,-,-,-,-,-,실1,골3,원더,128,256,64,128,64,원더,128,256,-,-,-,-,-,-,-,-,-,-,-,-,70,223,64,,,,,256,,,농담곰,71,88
293,12,244,"21,000",시즈나,카먼,골3,골1,원더,원더,원더,원더,원더,원더,원더,원더,256,원더,256,원더,256,128,128,256,256,256,-,-,-,-,-,-,-,-,-,-,220,-,229,,256,,,,,256,,,랑갤럼,45,37
188,19,251,"20,500",아리송DZgAf,레이갈드,실3,골3,골2,골1,원더,원더,원더,원더,원더,원더,원더,원더,원더,64,128,256,64,256,128,256,-,-,-,-,-,-,-,-,-,-,-,-,-,38,128,,,,,256,,,에이스,15,22
217,17,251,"20,500",마린도르프1,노센레이어,골3,골3,실1,골3,골2,골1,원더,원더,원더,원더,원더,128,원더,128,256,128,128,256,원더,64,-,-,-,-,-,-,-,-,-,-,-,70,-,93,256,,,,,64,"마린도르프, 마린도르프1",,랑린이,22,20
259,14,251,"20,500",박미남,티스라오,원더,원더,원더,원더,원더,원더,원더,256,128,32,256,128,128,256,-,-,-,-,-,-,-,-,-,-,-,-,-,216,112,32,154,88,100,130,,,,,,,,,카르페디엠,90,90
342,10,251,"20,500",목요,벨제리아,골3,골3,골3,골3,원더,원더,원더,256,256,원더,256,골1,256,256,원더,원더,골2,128,256,256,-,-,-,-,-,-,-,134,183,-,134,-,190,156,,,,,,256,"목요, 마요네즈목요",,세인트,17,13
293,12,251,"20,500",암연,이바스,-,-,-,-,-,브3,실3,골3,골3,골3,골3,실1,256,256,256,256,128,256,256,256,-,-,-,-,-,-,-,-,-,-,-,-,217,238,256,,,,,256,,세O1버,크런키,4,4
293,12,251,"20,500",베이모스,카먼,골3,골2,원더,원더,원더,원더,원더,256,256,골1,256,원더,256,256,256,256,128,-,-,-,-,-,-,-,-,-,-,194,207,-,171,-,211,239,256,,,,,,,,랑갤럼,45,40
241,15,251,"20,500",하늬최고,벨제리아,원더,128,256,128,16,128,256,256,-,-,원더,256,-,-,-,-,-,-,-,-,-,86,224,91,13,114,163,163,-,-,-,227,-,,,,,,,,,,세인트,11,13
204,18,251,"20,500",허니라떼,발디아,원더,원더,16,64,64,128,256,64,256,원더,-,-,-,-,-,-,-,-,-,-,-,-,11,40,59,104,176,60,135,-,-,-,-,,,,,,,,,,실력,10,11
319,11,259,"20,000",하틴4W3bV7,레이갈드,256,골3,골1,-,원더,원더,원더,원더,128,원더,256,256,원더,256,256,256,256,-,-,-,237,-,-,-,-,-,-,-,125,-,169,236,-,246,256,,,,,,"여신의금손, 하틴, 하틴4W3bV7",,대한민국,34,23
364,9,259,"20,000",생선데스빔런,노센레이어,원더,원더,원더,골1,골1,원더,원더,원더,원더,원더,256,256,256,원더,256,256,256,원더,256,256,-,-,-,-,-,-,-,-,-,-,245,254,235,,256,,,,,256,"생선빌런, 봇치 빌런, 미맹 빌런, 강풍올백 빌런, 탕수육 빌런, 인어 빌런, 사슴아이 빌런, 과부돈 빌런, 생선 빌런, 소이퐁 빌런, 괴도닭장 빌런, 얄ㄹ미운 수인, 틸릴할배빌런, 샘선빌런, 생선데스빔런",,랑린이,28,21
188,19,259,"20,000",테오도로,노센레이어,32,32,256,64,256,128,32,골3,-,-,-,-,-,-,-,-,-,-,-,-,19,30,247,38,216,127,18,-,-,-,-,-,-,,,,,,,,,,,18,21
259,14,259,"20,000",다바다,카먼,원더,원더,원더,원더,골2,32,256,128,64,256,256,128,-,-,-,-,-,-,-,-,-,-,-,-,-,17,162,100,38,217,227,79,-,,,,,,,,"엔비쿵, 다바다",,,38,41
227,16,259,"20,000",SnP500,카먼,실2,골3,골3,골3,골3,골2,실1,골2,골2,골2,골3,골3,골3,128,256,256,128,256,256,32,-,-,-,-,-,-,-,-,-,-,-,-,-,101,256,,,,,32,"잘생긴 유키, SnP 500, SnP500",흥미진진한데,명예,33,41
227,16,264,"19,500",로느,이스카노,-,-,실3,골3,-,-,골3,골2,원더,원더,원더,256,128,128,256,256,64,256,-,-,-,-,-,-,-,-,-,-,-,-,-,247,127,111,256,,,,,,,,Fiesta,1,1
278,13,264,"19,500",깝쳐보라,카먼,골1,원더,골2,골1,골3,원더,골3,골2,골1,128,256,256,64,256,128,원더,256,-,-,-,-,-,-,-,-,-,-,-,-,115,176,134,33,221,128,,,,,,"깝쳐보라, 뽑기망했다",,명예,42,43
204,18,264,"19,500",pma,노센레이어,-,-,-,골3,골2,골1,골3,골3,골1,골3,골2,원더,원더,원더,128,64,64,64,64,256,-,-,-,-,-,-,-,-,-,-,-,-,-,,128,,,,,256,"pma, 옷코츠 유타, 캡틴 코만도",,랑린이,20,23
204,18,264,"19,500",갓랑스차냥해,노센레이어,16,64,256,256,32,64,256,골3,-,-,-,-,-,-,-,-,-,-,-,-,16,62,245,212,18,42,201,-,-,-,-,-,-,,,,,,,,비시스프랑스,,,20,23
293,12,264,"19,500",히든,칼자스,원더,원더,256,16,256,256,256,256,256,256,-,-,-,-,-,-,-,-,-,-,-,-,215,15,239,215,145,223,238,236,-,-,-,,,,,,,,,,,15,14
259,14,269,"19,000",규네포스zMpN,노센레이어,원더,원더,원더,원더,원더,원더,골1,원더,골2,원더,128,256,원더,64,원더,256,256,원더,256,256,-,-,-,-,-,-,-,-,-,-,83,184,-,34,,,,,,256,"규네포스, 규네포스zMpN",,랑린이,24,25
179,20,269,"19,000",이장현,티스라오,-,-,-,-,-,-,-,-,골3,골1,원더,원더,256,64,256,64,64,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234,53,256,,,,,,,,랑린이,64,91
259,14,269,"19,000",운유,티스라오,원더,128,64,골2,골2,골1,원더,원더,원더,골3,256,원더,골1,128,골3,원더,원더,256,256,128,-,73,45,-,-,-,-,-,-,-,159,-,-,71,,,,,,128,"돌아온운유, 퇴물운유",,환유,90,91
278,13,269,"19,000",reactT1V,다르시스,골3,원더,원더,원더,256,원더,원더,골2,원더,골3,골1,원더,원더,256,128,64,256,256,원더,128,-,-,-,-,140,-,-,-,-,-,-,-,-,151,128,,,,,128,"react, reactT1V",,카콘시스,3,3
293,12,269,"19,000",베이비몬스터,레이갈드,실3,실3,-,-,골3,골2,골1,원더,원더,256,64,256,128,256,원더,256,256,-,-,-,-,-,-,-,-,-,-,-,-,243,51,229,110,163,,,,,,,"승리의여신니케, 뉴마, 베이비몬스터",,,30,24
319,11,269,"19,000",연옥,카먼,-,골3,골3,원더,원더,원더,원더,원더,원더,원더,256,256,256,256,원더,원더,원더,64,256,128,-,-,-,-,-,-,-,-,-,-,181,226,238,243,,,,,,128,,,랑돌,50,44
259,14,269,"19,000",정치경제학z,티스라오,골3,골3,원더,64,256,32,128,원더,골1,원더,원더,256,256,원더,128,-,-,-,-,-,-,-,-,52,181,18,117,-,-,-,-,152,161,,128,,,,,,"정치경제학, 천언 그는신인가, ㅈㅊㄱㅈㅎ, BisvV, 갑꾸꾸꾸, 정치경제학z, 랑그나라옴팡내시, 랑그나라모찌황제",,카르페디엠,90,91
278,13,276,"18,500",월야오초지,성검,골3,원더,원더,원더,원더,원더,골1,원더,원더,원더,원더,원더,원더,128,256,256,128,256,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,106,256,,,,,256,,,고양이,12,11
227,16,276,"18,500",겨자버거,카먼,-,-,-,-,-,-,실2,골3,골1,원더,128,원더,원더,256,원더,64,128,32,256,-,-,-,-,-,-,-,-,-,-,-,66,-,-,133,,,,,,,,,다람쥐,33,45
319,11,276,"18,500",쏜강,이스카노,브3,실3,실3,골3,골2,골3,골2,원더,골1,원더,원더,원더,원더,256,256,128,256,128,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,166,256,,,,,256,,,까꿍시스,2,2
278,13,276,"18,500",라 플라스,티스라오,원더,256,원더,128,원더,원더,128,원더,원더,원더,원더,원더,원더,256,원더,원더,원더,128,256,64,-,207,-,100,-,-,86,-,-,-,-,-,-,186,,,,,,64,,,카르페디엠,96,94
241,15,276,"18,500",김윤슬파파,츠루야,-,-,-,-,-,-,-,-,-,-,-,-,실3,원더,128,256,128,128,32,128,-,-,-,-,-,-,-,-,-,-,-,-,-,,128,,,,,128,"ㄹ라나, 김윤슬파파",,츠루야,1,1
227,16,276,"18,500",바람란디주인니므,리그리아,-,-,-,-,-,-,-,-,-,-,-,실2,골3,원더,256,256,64,32,64,256,-,-,-,-,-,-,-,-,-,-,-,-,-,,256,,,,,256,"주인니므, 바람란디주인니므",,형귀헬스장,8,8
241,15,276,"18,500",랑바03,티스라오,256,256,64,64,원더,128,32,256,골2,-,-,-,-,-,-,-,-,-,-,-,253,223,63,33,-,107,22,193,-,-,-,-,-,,,,,,,,"갓도그하울, 갓도그브리즈, Briz",계정 변경 Briz(S6),랑그리스,86,94
188,19,276,"18,500",할거없다이거,티스라오,64,16,256,32,64,64,원더,원더,원더,원더,-,-,-,-,-,-,-,-,-,-,38,14,233,18,60,64,-,-,-,-,-,-,-,,,,,,,,,,여고생,68,94
217,17,276,"18,500",나믿직믿,카먼,4,128,64,64,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,74,50,60,201,137,-,-,-,-,-,-,-,,,,,,,,"또시계바람돌이, 멋져, 두둥등장, I러브젤Da, 맛있는늑대",,,32,45
319,11,276,"18,500",씽씽,티스라오,-,-,골3,원더,원더,256,256,128,-,128,골2,128,256,골1,골2,128,-,-,-,-,-,-,-,-,-,168,142,103,-,109,-,68,214,,,,,,,,,,,111,94
342,10,286,"18,000",우길이,티스라오,실1,골3,골2,골1,골2,원더,256,원더,128,256,256,256,128,256,-,-,-,-,-,-,-,-,-,-,-,-,152,-,120,148,183,132,97,185,,,,,,,,,,120,98
241,15,286,"18,000",조종골,레이갈드,골3,골1,골3,-,골3,원더,원더,32,64,256,16,원더,-,-,골3,골3,골2,128,-,-,-,-,-,-,-,-,-,25,57,193,12,-,-,,,,,,,,"조종골, 시 연",,미시인사이드,22,25
259,14,286,"18,000",곱창전골bdns,레이갈드,256,128,128,8,256,256,256,골3,-,-,-,-,-,-,-,-,-,-,-,-,185,65,122,6,158,152,179,-,-,-,-,-,-,,,,,,,,곱창전골,,,24,25
259,14,286,"18,000",블루데스티네이션,카먼,128,256,64,256,원더,256,64,64,골1,-,-,-,-,-,-,-,-,-,-,-,112,157,53,153,-,239,35,56,-,-,-,-,-,,,,,,,,,,,38,47
278,13,286,"18,000",생강생강,티스라오,골1,원더,128,256,128,256,32,128,256,원더,-,-,-,-,-,-,-,-,-,-,-,-,110,218,84,240,25,92,212,-,-,-,-,,,,,,,,"생강처먹, 아인즈 울 생강, 백설탕, 생강처먹",,,96,98
188,19,286,"18,000",Elio,티스라오,골3,골3,골1,원더,원더,원더,32,원더,원더,원더,원더,원더,원더,원더,원더,원더,64,128,128,16,-,-,-,-,-,-,28,-,-,-,-,-,-,,,,,,,16,,,슬레이어즈,68,98
227,16,292,"17,500",말차우유,티스라오,실3,실2,실1,실3,골2,256,원더,원더,원더,256,256,128,64,32,-,-,-,-,-,-,-,-,-,-,-,192,-,-,-,234,145,93,35,22,,,,,,,"빈센조, 랑그나라옴팡왕자, 말차우유",,,80,101
278,13,292,"17,500",팬더빈,레이갈드,골3,골3,골3,골3,골3,골3,골1,원더,원더,64,256,256,원더,128,64,256,-,-,-,-,-,-,-,-,-,-,-,-,-,63,152,199,-,69,64,,,,,,"팬더빈, 베어빈",,사신,29,27
319,11,292,"17,500",카이엔V,티스라오,원더,원더,원더,256,256,원더,256,256,원더,원더,원더,원더,128,256,원더,원더,원더,원더,원더,64,-,-,-,256,234,-,231,154,-,-,-,-,112,160,,,,,,64,,보자탈,랑린이,111,101
319,11,292,"17,500",안도갓,카먼,골3,원더,원더,원더,원더,256,원더,원더,원더,원더,원더,원더,원더,256,256,256,128,256,256,-,-,-,-,-,-,161,-,-,-,-,-,-,-,172,256,,,,,,,,레이갈드,50,48
278,13,292,"17,500",로또즐,티스라오,-,실2,골3,골3,골3,골3,골3,골2,골1,골1,골1,원더,원더,256,128,128,256,256,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203,128,,,,,,,,여단을 수단으로,96,101
319,11,292,"17,500",세븐 체인저,벨제리아,원더,원더,원더,원더,원더,원더,256,원더,원더,원더,원더,256,원더,256,256,원더,128,원더,256,256,-,-,-,-,-,-,229,-,-,-,-,223,-,219,256,,,,,256,,,고양이,15,15
293,12,292,"17,500",로즈크로아,티스라오,실1,골3,실3,-,-,-,골3,실3,골3,골3,원더,원더,원더,원더,128,128,256,32,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,,128,,,,,256,,,흑우단,102,101
293,12,292,"17,500",MrJay,레이갈드,골3,골2,-,-,-,-,골3,실1,골3,골3,골3,골3,골2,원더,256,256,256,32,64,256,-,-,-,-,-,-,-,-,-,-,-,-,-,,256,,,,,256,"J J J, MrJay",,랑린이,30,27
293,12,292,"17,500",아야코,카먼,골2,골3,골1,원더,골1,원더,원더,원더,원더,원더,원더,원더,원더,원더,256,128,256,128,128,64,-,-,-,-,-,-,-,-,-,-,-,-,-,,256,,,,,64,,,고양이소릴내봐이묘묘묘묘묘묘묙,45,48
342,10,292,"17,500",아기장군,티스라오,브1,골3,원더,32,원더,256,256,256,256,256,256,-,-,-,-,-,-,-,-,-,-,-,-,21,-,221,209,150,208,210,,-,-,,,,,,,,,,,120,101
241,15,302,"17,000",겨드랑이,칼자스,골3,골3,골3,골1,골1,원더,원더,원더,원더,원더,원더,256,원더,64,256,128,128,256,-,-,-,-,-,-,-,-,-,-,-,-,-,167,-,63,256,,,,,,"이호성, 겨드랑이",,형귀헬스장,14,15
319,11,302,"17,000",zdasky,벨제리아,골3,골3,골3,골2,원더,원더,원더,원더,원더,64,128,128,256,256,원더,256,-,-,-,-,-,-,-,-,-,-,-,-,-,38,115,73,142,136,,,,,,,,,,15,16
278,13,302,"17,000",오메가137,카콘시스,브1,골3,골2,골3,골3,골3,골2,골1,골1,원더,원더,원더,원더,256,원더,256,128,64,256,128,-,-,-,-,-,-,-,-,-,-,-,-,-,167,,,,,,128,,,까꿍시스,4,4
293,12,302,"17,000",킹,티스라오,-,-,-,-,실3,골3,골2,골2,골1,원더,원더,128,256,256,64,원더,256,128,-,-,-,-,-,-,-,-,-,-,-,-,-,104,206,227,64,,,,,,,,흑우단,102,106
319,11,302,"17,000",사신 패왕천사,레이갈드,실3,실2,골3,실2,골3,골3,골1,원더,골2,원더,128,원더,원더,원더,256,256,256,32,256,-,-,-,-,-,-,-,-,-,-,-,107,-,-,,256,,,,,,,,사신,34,29
204,18,302,"17,000",리로레리,티스라오,128,8,64,-,원더,32,64,골3,원더,원더,-,-,-,-,-,-,-,-,-,-,117,5,51,-,-,31,50,-,-,-,-,-,-,,,,,,,,"대맹이, 춥다춥쓰, 리로레리",,랑그리스,71,106
293,12,302,"17,000",쿠로사키 코유키,티스라오,256,원더,32,256,128,256,256,128,원더,원더,골3,-,-,-,-,-,-,-,-,-,135,-,18,226,87,214,166,76,-,-,-,-,-,,,,,,,,"헛소리꾼, 호소리꾼",starhope,빛,102,106
319,11,302,"17,000",빈센조,티스라오,원더,128,256,128,256,256,원더,골3,원더,원더,원더,원더,원더,골1,원더,원더,원더,원더,64,256,-,83,173,66,160,228,-,-,-,-,-,-,-,,,,,,,256,"티아리스, 빈센조",계졍 변경 빈센조(S19),카르페디엠,111,106
217,17,302,"17,000",역자킹,티스라오,원더,256,256,1,8,원더,골1,골2,골3,-,-,-,-,-,-,-,-,-,-,-,-,219,238,1,7,-,-,-,-,-,-,-,-,,,,,,,,"후웅가, 어쿄, 아 카 야, 나 이 프, 역자킹",계정 변경 나 이 프(S6),,76,106
227,16,302,"17,000",기기긱기,카먼,원더,256,256,16,2,256,원더,원더,-,-,-,-,-,-,-,-,-,-,-,-,-,255,169,14,2,139,-,-,-,-,-,-,-,,,,,,,,독산동옥수수,,,33,50
319,11,302,"17,000",랑그접은사람,티스라오,원더,128,-,-,원더,원더,원더,256,128,128,64,256,-,-,-,-,-,-,-,-,-,116,-,-,-,-,-,218,102,120,59,240,-,,,,,,,,"헨델과무인텔, 스즈메의음주단속",,,111,106
293,12,313,"16,500",운빨잣망겜,라카스,-,-,브3,골3,골2,골1,골2,골2,골1,골2,골1,원더,골1,256,256,128,128,256,128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,249,256,,,,,,"인생은잣같다, 운빨잣망겜",,흑전드,5,5
