Rank(P),Point,Rank(C),Cristal,S1 Od,S2 Od,S3 Od,S4 Od,S5 Od,S6 Od,S7 Od,S8 Od,S9 Od,S10 Od,S11 Od,S12 Od,S13 Od,S14 Od,S15 Od,Name,Server,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,이전아이디,비고,여단,SRP,SRC
97,21,125,"26,500",-,-,95,-,19,-,-,-,70,114,5,42,155,,256,whalwal,카먼,원더,원더,128,원더,32,원더,원더,원더,128,128,8,64,256,원더,256,"UCL 롤무새, 긴따먹의무사수행, 긴바지따먹고싶다, 첼시챔스우승기원,  UCL우승첼시, 북극맨 빙의계정, 북를로, whalwal","계정 변경 젠킨스 (S7), whalwal(S11)",UCL,15,16
121,19,125,"26,500",-,-,-,-,-,-,-,190,101,175,7,22,185,52,256,TOTORU,노센레이어,원더,원더,원더,원더,원더,원더,원더,256,128,256,8,32,256,64,256,"TOTORUec, TOTORU",,피닉스,9,12
121,19,125,"26,500",-,-,-,-,210,22,-,96,164,-,54,65,188,51,128,양지니,티스라오,골3,골3,골1,원더,256,32,원더,128,256,원더,64,128,256,64,128,,,질풍,44,49
132,18,125,"26,500",-,-,-,-,-,-,-,141,162,146,160,62,3,58,256,박점멸,티스라오,골3,골3,골3,골1,원더,원더,원더,256,256,256,256,64,4,64,256,,,전설의 시작,47,49
154,16,125,"26,500",-,-,-,203,-,177,115,115,225,24,162,208,90,,,각성 백야차,칼자스,원더,원더,원더,256,원더,256,128,128,256,32,256,256,128,256,-,"undefind, 라이베라, 민트베라, 물면죽는베라, 마왕 알자크, 가로세로연구소, 각성 백야차",계정 변경 볼룬(S9),형귀헬스장,10,8
86,22,130,"26,000",98,249,16,5,31,212,193,178,204,-,-,-,-,,,호두알,리그리아,128,256,16,8,32,256,256,256,256,골1,골1,-,-,-,-,"조던, 딸기공주, 귀환",계정 변경 귀환(S8),Legend,4,5
97,21,130,"26,000",-,-,184,39,207,61,48,20,205,25,137,-,-,,,마요네즈치킨,카먼,원더,원더,256,64,256,64,64,32,256,32,256,-,-,-,-,"기묘한, 마요네즈치킨",,,15,17
106,20,130,"26,000",-,-,-,-,-,-,-,44,41,21,250,78,85,,64,SP소포,카먼,골1,골1,원더,원더,원더,-,원더,64,64,32,256,128,128,256,32,"일반소포, SP소포, 마요네즈대포",,대한민국,17,17
121,19,130,"26,000",70,67,125,41,90,253,235,21,194,-,254,-,-,,,알하자드17,카먼,128,128,128,64,128,256,256,32,256,원더,256,-,-,-,-,"신기꼬잉,알하자드7, 짭창전골17",,,19,17
145,17,130,"26,000",-,-,-,-,-,-,219,93,157,34,157,85,24,,128,유쌩,티스라오,원더,원더,원더,원더,원더,원더,256,128,256,64,256,128,32,256,128,,,,55,51
154,16,130,"26,000",-,143,-,-,190,68,165,111,211,157,203,17,88,,,누들집,티스라오,원더,256,원더,원더,256,128,256,128,256,256,256,32,128,-,-,"가시왕, 배 신, 삼궁, DeLaval, 림조림조쨩, 일궁, 블랙 비비, Y, 쵸 비, 서울우유커피로리, 궁이궁이, 이궁, 이 궁, 누들집",이궁,카르페디엠,59,51
65,25,136,"25,500",-,-,-,74,8,29,10,14,105,136,-,-,-,,,클리브랜드,카먼,원더,원더,원더,128,8,32,16,16,128,256,원더,-,-,-,-,"pado, 자전거를타고, 샤를로, 클리브랜드",계정 변경 샤를로(S4),UCL,9,20
106,20,136,"25,500",-,-,-,-,-,47,-,220,-,57,32,58,43,,128,단재,티스라오,원더,원더,원더,원더,원더,64,원더,256,-,64,32,64,64,256,128,,,흑우단,38,53
121,19,136,"25,500",-,-,176,-,-,150,-,-,-,55,253,53,123,5,128,케이아스,티스라오,원더,원더,256,원더,원더,256,원더,원더,원더,64,256,64,128,8,128,,,카르페디엠,44,53
132,18,136,"25,500",-,-,-,-,-,-,-,16,245,127,58,83,71,,128,작은슈니꾸꾸,성검,골3,골3,골1,골2,원더,원더,원더,16,256,128,64,128,128,256,128,"불꾸꾸, 작은슈니꾸꾸",,,5,5
162,15,136,"25,500",90,-,256,-,-,154,247,138,100,200,85,49,181,,,신세만지는구나,카먼,128,원더,256,원더,원더,256,256,256,128,256,128,64,256,-,-,,,,25,20
195,13,136,"25,500",-,-,-,162,-,167,-,23,137,131,170,179,130,,128,빨간망토촤촤,카먼,원더,원더,원더,256,원더,256,원더,64,256,256,256,256,256,256,128,,,알하자드,30,20
86,22,142,"24,500",-,-,-,-,-,-,-,-,-,6,124,26,32,,64,빵좀줘,보르스레누,-,-,-,-,-,-,브3,실3,골2,8,128,32,32,256,16,,,,1,1
145,17,142,"24,500",-,-,-,22,102,218,40,-,159,163,114,-,220,113,,쿸,카먼,원더,원더,원더,32,128,256,64,원더,256,256,128,원더,256,128,-,,,,22,23
145,17,142,"24,500",-,236,143,-,-,129,91,-,-,-,118,86,209,19,64,세렌디피T,칼자스,원더,256,256,원더,원더,256,128,원더,원더,원더,128,128,256,32,64,,,인연,8,9
132,18,145,"24,000",-,-,-,-,-,-,-,215,-,92,122,209,52,6,64,람다,카먼,골3,골3,골3,골1,원더,원더,골1,256,원더,128,128,256,64,8,64,"람다052, 람다",,알하자드,21,24
175,14,145,"24,000",-,160,69,50,183,210,221,251,254,91,191,-,-,,,태율이,칼자스,원더,256,128,64,256,256,256,256,256,128,256,-,-,-,-,"태율이, 폥귄기여어, 광탈하면접음, 진짜개허접",,,11,10
97,21,147,"23,500",25,15,254,70,199,99,241,13,-,-,-,-,-,,,군성j5xcPG,레이갈드,32,16,256,128,256,128,256,16,원더,-,-,-,-,-,-,군성,,,9,12
106,20,147,"23,500",-,-,78,107,24,117,21,239,165,30,-,-,-,,,게임장,라카스,원더,원더,128,128,32,128,32,256,256,32,골3,-,-,-,-,"리 코 리 스, 라이트유저, 셀파닐맘, 홍진호, 블래키드, 게임장",,아웃사이더,3,3
121,19,147,"23,500",-,-,-,-,-,-,-,-,-,-,41,6,166,31,64,우리수호천사,칼자스,-,실3,골3,골1,원더,256,256,원더,원더,원더,64,8,256,32,64,,,,6,11
145,17,147,"23,500",228,204,195,206,-,-,-,186,59,8,53,-,-,,,koinb,티스라오,256,256,256,256,원더,원더,골3,256,64,8,64,-,-,-,-,"모그레인, 레딘, 열화, koinb",계정 변경 레딘(S7),흑우단,55,55
162,15,147,"23,500",-,103,192,-,186,225,-,45,-,143,91,35,157,,,からかわないで,카먼,골1,128,256,원더,256,256,원더,64,원더,256,128,64,256,-,-,"랑린Ol, あきらめるな, あきらめないで, からかわないで","아키라메나이데, 카라카와나이데",,25,25
195,13,147,"23,500",-,-,-,-,206,160,-,-,89,59,215,231,89,,256,동화파파,레이갈드,골3,골3,원더,원더,256,256,원더,원더,128,64,256,256,128,256,256,"동화파파, 랜솔파파",,사신,18,12
195,13,147,"23,500",-,-,-,-,-,180,183,67,151,139,80,173,80,,128,페리안,티스라오,실3,골2,골2,골1,원더,256,256,128,256,256,128,256,128,골3,128,"자칼의 날, 페리안, 탄생의 빛, 페리안, 숑기사,얘희, 드래곤 슬레이브",,카르페디엠,72,55
222,11,147,"23,500",-,-,135,181,-,136,154,179,114,219,226,239,136,,,홀팅,발디아,골1,원더,256,256,원더,256,256,256,128,256,256,256,256,-,-,,,,10,7
132,18,147,"23,500",212,99,-,-,-,-,-,-,-,-,74,170,29,,64,폐관수련중,티스라오,256,128,원더,골3,골2,골3,골1,실2,골3,골2,128,256,32,256,4,"마시멜로, 마포틀딱이, 태극권, 폐관수련중",,흑우단,47,55
154,16,156,"23,000",-,-,-,215,213,-,-,37,109,44,78,118,109,,,GOLDBERG,티스라오,원더,원더,원더,256,256,원더,원더,64,128,64,128,128,128,-,-,어디에  써야하나,,카르페디엠,59,58
162,15,156,"23,000",139,-,-,142,194,112,46,246,215,28,-,193,-,,,아아아아LZZv,레이갈드,256,원더,원더,256,256,128,64,256,256,32,원더,256,-,-,-,아아아아,,,14,14
162,15,156,"23,000",-,-,-,-,-,65,-,101,86,71,121,143,93,70,,흑룡마도사단,티스라오,골3,골1,원더,원더,원더,128,원더,128,128,128,128,256,128,128,-,,,Epic,63,58
175,14,156,"23,000",-,-,-,-,-,-,-,129,124,39,238,124,193,54,256,필라넨스,티스라오,골3,원더,원더,원더,원더,원더,원더,256,128,64,256,128,256,64,256,,,카르페디엠,68,58
175,14,156,"23,000",-,-,-,-,-,255,-,230,75,33,86,121,152,112,256,스케어크로우,콜시아,브1,골3,원더,원더,원더,원더,원더,256,128,64,128,128,256,128,256,,,,2,2
154,16,161,"22,500",46,149,131,120,37,126,124,-,-,256,-,-,137,,,홍염의눈동자,티스라오,64,256,256,128,64,128,128,원더,원더,256,원더,-,256,-,-,,,,59,61
162,15,161,"22,500",-,-,-,-,-,-,-,-,107,7,210,94,174,,128,조민규짱,빛의후예,실2,골3,골3,원더,원더,원더,골2,원더,128,8,256,128,256,256,128,,,카콘시스,1,1
79,23,163,"22,000",9,59,29,109,28,62,121,-,-,-,-,-,-,,,모노쿠마O43c,벨제리아,16,64,32,128,32,64,128,-,골3,-,-,-,-,-,-,,,,6,7
154,16,163,"22,000",-,-,48,200,144,251,132,-,-,15,-,154,37,,,애희,티스라오,원더,원더,64,256,256,256,256,-,-,16,-,256,64,-,-,,,카르페디엠,59,62
175,14,163,"22,000",-,-,-,-,21,125,-,36,220,180,-,140,133,,,공백닉11,티스라오,골1,원더,원더,원더,32,128,원더,64,256,256,원더,256,256,256,-,,,랑린이,68,62
175,14,163,"22,000",-,-,-,-,230,119,-,127,88,105,125,220,-,,128,각송자,노센레이어,원더,원더,원더,원더,256,128,원더,128,128,128,128,256,원더,원더,128,"스파르타쿠스, 각송자",,,15,13
206,12,163,"22,000",-,-,-,-,-,-,-,192,94,164,27,150,233,,256,노브커피,발디아,실3,브1,실2,골3,골2,골1,원더,256,128,256,32,256,256,256,256,,,고양이,9,8
222,11,163,"22,000",-,-,-,-,147,223,188,254,203,172,123,115,154,,,D SNY A,레이갈드,원더,원더,원더,원더,256,256,256,256,256,256,128,128,256,-,-,IlIlIllI,,대한민국,21,15
222,11,163,"22,000",-,-,-,-,85,204,160,83,186,195,243,237,-,,256,아이스티샷추가,티스라오,골3,골2,골1,원더,128,256,256,128,256,256,256,256,원더,골1,256,,,여고생,80,62
241,10,163,"22,000",-,-,-,-,-,80,255,161,217,182,136,204,189,,256,LLR쉐리,티스라오,골3,골3,골2,원더,원더,128,256,256,256,256,256,256,256,원더,256,"쉐리없는쉐리맘, 쉐 리 맘, 예희, 페리안, 첫주지박령쉐리맘, LLR쉐리",,GSC클럽,88,62
162,15,171,"21,500",-,-,-,75,110,231,30,126,224,123,247,-,-,,,코스모스,다르시스,골2,원더,원더,128,128,256,32,128,256,128,256,-,-,-,-,,,,2,2
162,15,171,"21,500",-,-,-,-,-,-,5,184,71,134,-,-,36,,256,시지프스,티스라오,원더,원더,원더,원더,원더,원더,8,256,128,256,원더,-,64,256,256,"무과금선언, 미루지말기, 시지프스",,카르페디엠,63,66
162,15,171,"21,500",-,-,-,-,-,-,-,-,253,176,49,23,132,46,128,헬창입니다,페르세우스,-,-,실3,골2,원더,골2,-,골3,256,256,64,32,256,64,128,,,,2,2
222,11,171,"21,500",-,-,-,152,101,147,184,149,252,238,-,146,95,,,내일의죠,카먼,골2,골3,원더,256,128,256,256,256,256,256,원더,256,128,-,-,"네라, 내일의죠, 월천준암",,,36,26
222,11,171,"21,500",-,-,-,-,-,-,-,225,119,102,223,77,199,,256,쟈스민80,발디아,골2,골3,원더,원더,원더,원더,원더,256,128,128,256,128,256,256,256,,,코스믹 킹덤,10,9
154,16,176,"21,000",60,61,24,205,188,-,189,117,239,-,-,-,-,,,코보 카나에루,레이갈드,64,64,32,256,256,원더,256,128,256,원더,골2,-,-,-,-,낙월소검,,대한민국,12,16
206,12,176,"21,000",-,180,126,-,-,-,-,-,66,53,214,245,242,,,셀천지,카먼,원더,256,128,원더,원더,원더,원더,원더,128,64,256,256,256,256,-,,,,33,27
222,11,176,"21,000",-,-,-,-,-,-,254,195,-,99,116,163,210,121,256,SP측형,티스라오,골2,골1,원더,원더,원더,원더,256,256,원더,128,128,256,256,128,256,"CmR, 랑그나라옴팡측형, 측형, SP측형",,카르페디엠,80,67
132,18,179,"20,500",-,-,11,40,59,104,176,60,135,-,-,-,-,,,허니라떼,발디아,원더,원더,16,64,64,128,256,64,256,원더,-,-,-,-,-,,,인연,7,10
162,15,179,"20,500",-,86,224,91,13,114,163,163,-,-,-,227,-,,,하늬최고,벨제리아,원더,128,256,128,16,128,256,256,-,-,원더,256,-,-,-,,,인연,8,8
175,14,179,"20,500",-,-,-,-,-,-,80,42,33,-,147,71,241,104,,기가드릴,벨제리아,골3,원더,원더,원더,원더,원더,128,64,64,원더,256,128,256,128,원더,,,,9,8
195,13,179,"20,500",-,-,-,-,-,-,-,216,112,32,154,88,100,,,박미남,티스라오,원더,원더,원더,원더,원더,원더,원더,256,128,32,256,128,128,256,-,,,카르페디엠,72,68
195,13,179,"20,500",-,-,-,-,-,-,-,-,130,254,93,234,23,,64,될놈될,노센레이어,-,-,-,-,-,골3,골2,원더,256,256,128,256,32,256,64,,,랑린이,16,14
206,12,179,"20,500",-,-,-,222,76,-,148,217,234,188,-,-,19,,,손제리,빛의후예,골3,원더,원더,256,128,원더,256,256,256,256,원더,-,32,256,-,,,,2,2
241,10,179,"20,500",-,-,-,223,-,-,-,104,-,101,230,253,180,,256,레고,티스라오,골3,골1,원더,256,원더,원더,원더,128,-,128,256,256,256,256,256,,,,88,68
262,9,179,"20,500",-,-,-,-,-,-,-,199,133,177,76,151,248,,256,랑파고,티스라오,원더,원더,원더,원더,원더,원더,원더,256,256,256,128,256,256,256,256,,,,94,68
121,19,187,"20,000",19,30,247,38,216,127,18,-,-,-,-,-,-,,,테오도로,노센레이어,32,32,256,64,256,128,32,골3,-,-,-,-,-,-,-,,,,9,15
175,14,187,"20,000",-,-,-,-,-,17,162,100,38,217,227,79,-,,,다바다,카먼,원더,원더,원더,원더,골2,32,256,128,64,256,256,128,-,-,-,"엔비쿵, 다바다",,,27,28
195,13,187,"20,000",-,-,-,-,-,169,-,125,149,202,-,-,83,79,64,SP불량판광,콜시아,-,-,실1,골2,원더,256,원더,128,256,256,-,-,128,128,32,"불량판광, Sp세한, SP불량판광",2020.5.6 주인바뀜?,,4,3
206,12,187,"20,000",-,135,75,-,256,-,211,-,-,119,-,84,186,,128,FlowSHrN,리그리아,원더,256,128,원더,256,원더,256,-,-,128,원더,128,256,원더,128,Flow,,,7,6
222,11,187,"20,000",-,179,124,136,-,-,-,-,-,-,178,212,-,,64,버디컴플렉스,티스라오,원더,256,128,256,원더,원더,원더,-,-,-,256,256,256,256,64,,,랑린이,80,71
241,10,187,"20,000",-,-,-,-,163,-,173,116,-,178,131,246,-,86,256,Sukwind,티스라오,골3,골2,원더,원더,256,원더,256,128,원더,256,256,256,원더,128,256,,,머피소,88,71
262,9,187,"20,000",-,-,-,151,-,-,-,-,104,183,209,129,141,,256,SR치케,티스라오,원더,골1,골1,256,원더,원더,원더,원더,128,256,256,256,256,256,256,"Clarett, 병신게임 ㅗ, 다프렌, 섭종가자, 최약체치케, SR치케",,질풍,94,71
132,18,194,"19,500",16,62,245,212,18,42,201,-,-,-,-,-,-,,,갓랑스차냥해,노센레이어,16,64,256,256,32,64,256,골3,-,-,-,-,-,-,-,비시스프랑스,,,13,16
175,14,194,"19,500",-,-,-,-,-,-,-,80,-,189,-,38,86,,64,티븐이,성검,골3,원더,원더,골3,골3,원더,원더,128,원더,256,원더,64,128,256,16,,,,7,6
206,12,194,"19,500",-,-,215,15,239,215,145,223,238,236,-,-,-,,,히든,칼자스,원더,원더,256,16,256,256,256,256,256,256,-,-,-,-,-,,,,12,12
222,11,194,"19,500",-,-,-,-,-,-,-,-,248,168,231,166,111,29,256,0080,노센레이어,골1,원더,원더,원더,원더,원더,원더,원더,256,256,256,256,128,32,256,,,,19,16
222,11,194,"19,500",-,-,-,-,-,-,-,124,-,211,64,87,247,,256,단단하게,노센레이어,골2,골1,원더,원더,원더,원더,원더,128,원더,256,64,128,256,256,256,"마요네즈개단단, 단단하게, 단단하게v, 단단킴",,피닉스,19,16
222,11,194,"19,500",211,107,145,131,-,-,-,-,-,252,-,72,-,,128,공백닉(시리드),티스라오,256,128,256,256,원더,골3,골1,원더,골2,256,-,128,원더,256,128,시리드,,랑린이,80,74
145,17,200,"19,000",53,108,56,47,27,216,167,-,-,-,-,-,-,,,네페라타,노센레이어,64,128,64,64,32,256,256,원더,원더,골1,-,-,-,-,-,월희,,,14,19
162,15,200,"19,000",20,-,43,202,242,-,92,211,58,-,-,-,-,,,안경거치대,티스라오,32,원더,64,256,256,원더,128,256,64,골2,골2,-,-,-,-,"자웅동체, 능지상승중, 능지떡락중, 안전 운전, 아이도스, 안경거치대",,여고생,63,75
175,14,200,"19,000",-,-,-,86,131,234,64,255,18,116,-,-,-,,,캌퉤,콜시아,-,골3,원더,128,256,256,64,256,32,128,-,-,-,-,-,,,,2,4
175,14,200,"19,000",-,-,-,52,181,18,117,-,-,-,-,152,161,,128,정치경제학z,티스라오,골3,골3,원더,64,256,32,128,원더,골1,원더,원더,256,256,원더,128,"정치경제학, 천언 그는신인가, ㅈㅊㄱㅈㅎ, BisvV, 갑꾸꾸꾸, 정치경제학z, 랑그나라옴팡내시, 랑그나라모찌황제",,카르페디엠,68,75
175,14,200,"19,000",-,-,-,-,-,-,-,-,96,171,17,21,252,,128,Mookshow,페르세우스,-,-,-,-,골3,골2,골2,원더,128,256,32,32,256,골2,128,,,,3,3
241,10,200,"19,000",-,-,-,-,-,-,-,-,209,165,201,36,230,117,256,CRonaldo,칼자스,골3,골1,원더,원더,원더,원더,원더,원더,256,256,256,64,256,128,256,,,,13,13
295,8,200,"19,000",-,-,-,-,184,189,-,-,256,214,-,182,249,,256,루나틱,티스라오,골3,원더,원더,원더,256,256,원더,원더,256,256,원더,256,256,256,256,,,,108,75
295,8,200,"19,000",-,-,-,137,-,158,-,-,-,197,174,141,244,,256,메스타냐,노센레이어,골1,원더,원더,256,원더,256,원더,원더,원더,256,256,256,256,256,256,,,,22,19
121,19,208,"18,500",38,14,233,18,60,64,-,-,-,-,-,-,-,,,할거없다이거,티스라오,64,16,256,32,64,64,원더,원더,원더,원더,-,-,-,-,-,,,여고생,44,78
145,17,208,"18,500",3,74,50,60,201,137,-,-,-,-,-,-,-,,,나믿직믿,카먼,4,128,64,64,256,256,-,-,-,-,-,-,-,-,-,"또시계바람돌이, I러브젤Da, 맛있는늑대",,,22,29
162,15,208,"18,500",253,223,63,33,-,107,22,193,-,-,-,-,-,,,랑바03,티스라오,256,256,64,64,원더,128,32,256,골2,-,-,-,-,-,-,"갓도그하울, 갓도그브리즈, Briz",계정 변경 Briz(S6),랑그리스,63,78
175,14,208,"18,500",-,-,-,-,246,-,-,-,-,128,23,24,116,,,산공깡패,리그리아,원더,원더,골3,골3,256,원더,원더,-,-,128,32,32,128,256,-,"긴바지, 산공카페, 선공깡패",계정 변경 산공카페(S10),,6,7
195,13,208,"18,500",-,-,-,-,-,71,-,11,138,-,-,-,177,120,128,쪼오,카먼,골1,원더,원더,원더,원더,128,원더,16,256,원더,원더,원더,256,128,128,"쪼오, リナ＝インバース",리나인버스,UCL,30,29
262,9,208,"18,500",-,-,-,-,-,-,-,-,143,246,234,133,76,77,256,도둑왕자,레이갈드,실2,골3,골2,골1,원더,원더,원더,원더,256,256,256,256,128,128,256,"도둑왕자, 도둑왕자E8sn",,랑린이,27,17
262,9,208,"18,500",-,-,-,-,-,-,-,139,160,-,77,156,194,,128,R의 의지,카먼,골2,골2,골2,골2,원더,원더,원더,256,256,원더,128,256,256,256,128,,,,44,29
262,9,208,"18,500",-,-,-,-,-,-,-,235,-,160,194,224,129,,64,켑스,티스라오,골3,골3,원더,원더,원더,원더,원더,256,원더,256,256,256,256,256,64,,,여고생,94,78
175,14,216,"18,000",112,157,53,153,-,239,35,56,-,-,-,-,-,,,블루데스티네이션,카먼,128,256,64,256,원더,256,64,64,골1,-,-,-,-,-,-,,,,27,32
175,14,216,"18,000",185,65,122,6,158,152,179,-,-,-,-,-,-,,,곱창전골bdns,레이갈드,256,128,128,8,256,256,256,골3,-,-,-,-,-,-,-,곱창전골,,,15,18
195,13,216,"18,000",-,-,110,218,84,240,25,92,212,-,-,-,-,,,생강생강,티스라오,골1,원더,128,256,128,256,32,128,256,원더,-,-,-,-,-,"생강처먹, 아인즈 울 생강, 백설탕, 생강처먹",,,72,81
206,12,216,"18,000",-,-,-,-,-,-,-,-,-,147,140,28,82,47,256,커여운랑린이,티스라오,원더,골3,-,-,-,-,골2,원더,원더,256,256,32,128,64,256,,,머피소,75,81
206,12,216,"18,000",-,40,240,84,162,-,-,-,-,-,-,-,62,,256,초베리굿,빛의후예,골3,64,256,128,256,원더,원더,원더,원더,-,골1,원더,64,256,256,"연 이화, 에메랄드스플래쉬, 이글거리는이빨, 초베리굿",,카콘시스,2,3
206,12,216,"18,000",-,-,-,-,-,-,-,-,-,87,120,76,115,81,128,타팡,성검,골2,골1,원더,원더,원더,원더,원더,원더,원더,128,128,128,128,128,128,"다브로, 타팡",,,9,7
262,9,216,"18,000",-,-,-,-,-,-,152,-,120,148,183,132,97,,,우길이,티스라오,실1,골3,골2,골1,골2,원더,256,원더,128,256,256,256,128,256,-,,,,94,81
175,14,223,"17,500",-,-,-,-,-,-,-,-,187,-,15,116,41,60,,비독천,성검,골3,골3,골1,원더,원더,원더,원더,원더,256,원더,16,128,64,64,-,,,,7,8
206,12,223,"17,500",-,-,-,-,-,192,-,-,-,234,145,93,35,22,,말차우유,티스라오,실3,실2,실1,실3,골2,256,원더,원더,원더,256,256,128,64,32,-,"빈센조, 랑그나라옴팡왕자, 말차우유",,,75,84
206,12,223,"17,500",-,-,-,-,-,-,75,-,50,-,135,-,114,,64,프란,카먼,골3,골3,골1,골3,원더,원더,128,원더,64,원더,256,원더,128,256,64,,,다람쥐,33,33
241,10,223,"17,500",-,-,-,21,-,221,209,150,208,210,,-,-,,,아기장군,티스라오,브1,골3,원더,32,원더,256,256,256,256,256,256,-,-,-,-,,,,88,84
132,18,227,"17,000",117,5,51,-,-,31,50,-,-,-,-,-,-,,,리로레리,티스라오,128,8,64,-,원더,32,64,골3,원더,원더,-,-,-,-,-,"대맹이, 춥다춥쓰, 리로레리",,랑그리스,47,86
145,17,227,"17,000",-,219,238,1,7,-,-,-,-,-,-,-,-,,,역자킹,티스라오,원더,256,256,1,8,원더,골1,골2,골3,-,-,-,-,-,-,"후웅가, 어쿄, 아 카 야, 나 이 프, 역자킹",계정 변경 나 이 프(S6),,55,86
154,16,227,"17,000",-,255,169,14,2,139,-,-,-,-,-,-,-,,,기기긱기,카먼,원더,256,256,16,2,256,원더,원더,-,-,-,-,-,-,-,독산동옥수수,,,24,34
206,12,227,"17,000",135,-,18,226,87,214,166,76,-,-,-,-,-,,,쿠로사키 코유키,티스라오,256,원더,32,256,128,256,256,128,원더,원더,골3,-,-,-,-,"헛소리꾼, 호소리꾼",starhope,빛,75,86
222,11,227,"17,000",-,-,-,-,-,143,136,177,90,190,13,-,-,,,쪼끔,라카스,원더,원더,원더,원더,원더,256,256,256,128,256,16,-,-,-,-,,,,4,4
222,11,227,"17,000",-,116,-,-,-,-,-,218,102,120,59,240,-,,,랑그접은사람,티스라오,원더,128,-,-,원더,원더,원더,256,128,128,64,256,-,-,-,"헨델과무인텔, 스즈메의음주단속",,,80,86
241,10,227,"17,000",-,-,-,-,-,-,-,-,-,115,176,134,33,,128,깝쳐보라,카먼,골1,원더,골2,골1,골3,원더,골3,골2,골1,128,256,256,64,256,128,"깝쳐보라, 뽑기망했다",,명예,37,34
241,10,227,"17,000",-,-,-,-,-,-,-,-,-,47,241,168,164,,64,퀘일,티스라오,골3,골2,골2,원더,원더,원더,원더,원더,원더,64,256,256,256,256,64,,,,88,86
162,15,235,"16,500",69,54,101,183,11,110,-,-,-,-,-,-,-,,,에이신 플래시,성검,128,64,128,256,16,128,실1,-,-,-,-,-,-,-,-,"닉시, 키타산 블랙, 나리타 브라이언, 미호노 부르봉, 메지로 아르당",,,6,9
195,13,235,"16,500",210,-,211,248,109,59,-,10,-,-,-,-,-,,,도레미곰,카먼,256,원더,256,256,128,64,원더,16,원더,-,-,-,-,-,-,모구리,,,30,36
222,11,235,"16,500",-,-,-,-,-,242,203,43,22,159,168,-,-,,,난닝9박,빛의후예,골3,골2,원더,원더,원더,256,256,64,32,256,256,-,-,-,-,,,,4,4
262,9,235,"16,500",-,119,182,-,-,81,232,202,158,144,-,-,-,,,루크레치아,카먼,원더,128,256,원더,원더,128,256,256,256,256,골3,-,-,-,-,까칠한승아,,,44,36
262,9,235,"16,500",-,-,-,-,-,-,-,-,180,-,71,96,162,127,256,예지니,티스라오,브3,실3,골2,골2,골1,골1,원더,원더,256,원더,128,128,256,128,256,"MiYu, Erma, 예지니",,,94,91
262,9,235,"16,500",-,-,-,-,-,-,-,148,-,-,202,211,106,85,128,cocoytk,벨제리아,실3,골3,골2,원더,원더,원더,원더,256,-,-,256,256,128,128,128,,,,11,10
175,14,241,"16,000",97,212,9,49,92,232,-,-,-,-,-,-,-,,,성좌,카먼,128,256,16,64,128,256,골2,골3,-,-,-,-,-,-,-,세나캐,,,27,38
295,8,241,"16,000",-,-,-,-,-,-,-,-,-,201,148,55,200,,256,파파존,발디아,실1,골3,골3,골3,골1,원더,원더,원더,원더,256,256,64,256,256,256,"아라드파견인, 아야츠노 유니, 또다시적벽, 파파존",,,14,11
175,14,243,"15,500",62,130,134,4,99,-,-,-,-,-,-,-,-,,,매의단,발디아,64,256,256,4,128,원더,-,-,-,-,-,-,-,-,-,,,,8,12
206,12,243,"15,500",92,92,-,-,123,20,251,-,-,-,-,-,236,,,말퓨리온,티스라오,128,128,원더,골3,128,32,256,-,-,-,-,골2,256,-,-,,,새우사망,75,92
222,11,243,"15,500",-,-,-,-,-,-,-,-,-,60,99,111,64,,,비온뒤갬,노센레이어,원더,골3,골3,골2,골1,골2,골2,원더,원더,64,128,128,64,256,-,,,,19,21
222,11,243,"15,500",-,-,-,-,-,-,-,-,-,-,237,122,87,89,64,트라이포스,이리스성,-,-,-,-,-,-,-,-,-,골2,256,128,128,128,32,,,붉은달,1,1
241,10,243,"15,500",168,125,133,104,185,115,224,-,-,-,-,-,-,,,님아쳐맞고싶나여,카먼,256,128,256,128,256,128,256,원더,-,-,-,-,-,-,-,,,,37,39
241,10,243,"15,500",245,248,160,62,205,220,114,-,-,-,-,-,-,,,프릭쇼,카먼,256,256,256,64,256,256,128,골3,골2,-,-,-,-,-,-,"UCL 곱등이, 좐자룡, 프릭쇼",,,37,39
262,9,243,"15,500",-,-,129,167,-,-,-,38,115,141,,-,-,,,위니에나,라카스,골3,원더,256,256,골2,원더,원더,64,128,256,256,-,-,-,-,,,,5,5
262,9,243,"15,500",-,-,-,-,-,168,142,103,-,109,-,68,214,,,씽씽,티스라오,-,-,골3,원더,원더,256,256,128,-,128,골2,128,256,-,-,,,,94,92
295,8,243,"15,500",-,-,-,-,-,-,88,128,-,230,251,-,-,,256,니켈,티스라오,-,-,-,골3,골1,원더,128,128,원더,256,256,골1,골1,256,256,,,카르페디엠,108,92
323,7,243,"15,500",-,-,-,-,-,255,-,189,-,223,199,-,221,98,256,옴마늬,레이갈드,원더,원더,원더,원더,원더,원더,원더,256,골2,256,256,원더,256,128,256,"이온, 옴마늬",,사신,30,19
195,13,253,"15,000",-,-,-,-,-,-,-,25,57,193,12,-,-,,,시 연,레이갈드,골3,골1,골3,-,골3,원더,원더,32,64,256,16,-,-,-,-,조종골,,미시인사이드,18,20
